C행정구역별,행정구역별,C산업별,업종명,데이터업종명,C조직형태별,조직형태별,시점,사업체수 (개),종사자수 (명)
'00,전국,'G46414,유아용 의류 도매업,,'0,계,2018,232,1626
'00,전국,'G46415,속옷 및 잠옷 도매업,,'0,계,2018,597,3432
'00,전국,'G46416,가죽 및 모피제품 도매업,,'0,계,2018,279,1135
'00,전국,'G46417,의복 액세서리 및 모조 장신구 도매업,,'0,계,2018,6858,16169
'00,전국,'G46419,기타 생활용 섬유 및 직물제품 도매업,,'0,계,2018,1154,3058
'00,전국,'G4642,신발 도매업,,'0,계,2018,1985,8312
'00,전국,'G46420,신발 도매업,,'0,계,2018,1985,8312
'00,전국,'G4643,"생활용 가구, 조명기구 및 비전기식 생활용 기기 도매업",,'0,계,2018,8755,33438
'00,전국,'G46431,생활용 가구 도매업,,'0,계,2018,2067,9280
'00,전국,'G46432,"전구, 램프 및 조명장치 도매업",,'0,계,2018,3181,9939
'00,전국,'G46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,,'0,계,2018,3287,13512
'00,전국,'G46439,기타 비전기식 생활용 기기 및 기구 도매업,,'0,계,2018,220,707
'00,전국,'G4644,"의약품, 의료용품 및 화장품 도매업",,'0,계,2018,14891,112089
'00,전국,'G46441,의약품 도매업,,'0,계,2018,4129,58100
'00,전국,'G46442,의료용품 도매업,,'0,계,2018,2708,13204
'00,전국,'G46443,화장품 및 화장용품 도매업,,'0,계,2018,6671,35012
'00,전국,'G46444,비누 및 세정제 도매업,,'0,계,2018,1383,5773
'00,전국,'G4645,"생활용 포장ㆍ위생용품, 문구용품 및 출판 인쇄물 도매업",,'0,계,2018,9479,34296
'00,전국,'G46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",,'0,계,2018,2734,9203
'00,전국,'G46452,"문구용품, 회화용품, 사무용품 도매업",,'0,계,2018,3897,14420
'00,전국,'G46453,"서적, 잡지 및 기타 인쇄물 도매업",,'0,계,2018,2848,10673
'00,전국,'G4646,"음반 및 비디오물, 악기, 오락 및 경기용품 도매업",,'0,계,2018,4142,17435
'00,전국,'G46461,음반 및 비디오물 도매업,,'0,계,2018,145,658
'00,전국,'G46462,악기 도매업,,'0,계,2018,248,1019
'00,전국,'G46463,"장난감 및 취미, 오락용품 도매업",,'0,계,2018,1852,6345
'00,전국,'G46464,운동 및 경기용품 도매업,,'0,계,2018,1537,7712
'00,전국,'G46465,자전거 및 기타 운송장비 도매업,,'0,계,2018,360,1701
'00,전국,'G4649,"가방, 시계, 안경 및 기타 생활용품 도매업",,'0,계,2018,9234,35938
'00,전국,'G46491,가방 및 보호용 케이스 도매업,,'0,계,2018,1571,7172
'00,전국,'G46492,시계 및 귀금속제품 도매업,,'0,계,2018,2280,6413
'00,전국,'G46493,"안경, 사진장비 및 광학용품 도매업",,'0,계,2018,1168,7420
'00,전국,'G46499,그 외 기타 생활용품 도매업,,'0,계,2018,4215,14933
'00,전국,'G465,기계장비 및 관련 물품 도매업,,'0,계,2018,61532,276225
